start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2025-10-16 00:56:25.027610,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[19316, 49783, 49936, 50093, 50224, 50493, 50586, 50743, 50929, 51326, 51353, 51567, 51930, 51958, 52179, 52302, 52488, 52621, 55432, 63938, 68197, 68319, 70141, 70176, 70325, 70873, 72147, 76613, 78619, 80932, 80944, 81001, 88187, 117084]",34,0.6693353832565975,0.0,0.36526,6159.228694374
2025-10-16 02:38:34.015362,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[19316, 49783, 49936, 50787, 50852, 51439, 52214, 52349, 52637, 52900, 55230, 57932, 58454, 58485, 60489, 60732, 62668, 62700, 65121, 65216, 65966, 66145, 66220, 66322, 67648, 70866, 70891, 72163, 77248, 79260, 81195, 81241, 115765]",33,0.6585323966928631,0.0,0.3577,6372.444426198
2025-10-16 04:24:15.243340,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,"[19316, 49783, 49936, 50803, 50863, 52489, 56215, 63534, 68110, 68751, 70255, 79733, 81450, 119709]",14,0.6745937635446226,0.0,0.36696,3067.344974668
2025-10-16 05:15:08.480400,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,"[19316, 49783, 49936, 50837, 52896, 56324, 56767, 62569, 62580, 65961, 70191, 70194, 70200]",13,0.6266713553209411,0.0,0.36131,2688.8519866650004
2025-10-16 05:59:45.285203,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,"[19316, 49783, 49936, 52642, 57196, 58016, 62910, 67530, 67590, 68402, 71621]",11,0.6406473614052878,0.0,0.35721,2628.1081491799996
2025-10-16 06:43:23.048177,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,"[19316, 49783, 49936, 52660, 57175, 64786]",6,0.6354053368879875,0.0,0.34811,1761.6944773890027
2025-10-16 07:12:39.519693,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,"[19316, 49783, 49946, 58036, 65322]",5,0.6302123796828616,0.0,0.34334,1595.226591519
2025-10-16 07:39:09.790878,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[15249, 19310, 46537, 46555, 46704, 46854, 47090, 47216, 49704, 49840, 50817, 50837, 51432, 51891, 52042, 52192, 52342, 52494, 52644, 52881, 52989, 53151, 53333, 53467, 54679, 54693, 54841, 63908, 74227, 75180, 75291, 75315, 75465, 75619, 75768, 75919, 77422, 77516, 77776, 77871, 78022, 78172, 78322, 78472, 78667, 78836, 78969, 79218, 79319, 79469, 79662, 79793, 79943, 80108, 80251, 80467, 80699, 80795, 80945, 81215, 81305, 81536]",62,0.6632755702030569,0.0,0.36315,10251.697723256999
2025-10-16 10:28:58.266250,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[19316, 46537, 46579, 46725, 49768, 49870, 50843, 50864, 51421, 52896, 55135, 56740, 62606, 65965, 66085, 66094, 66244, 66475, 66676, 66782, 66973, 67201, 67306, 67455, 67773, 67908, 68024, 68174, 68324, 69010, 70135, 70166, 70258, 81015, 111993, 112285, 115149, 115746, 115761, 116871, 116914, 117035, 117185, 117335, 117485, 119106, 121252, 135308, 135549, 135706, 138011, 144551, 144580, 144664, 144953, 145034, 145683, 145784, 147475]",59,0.6690982245810878,0.0,0.35982,10507.106347302004
2025-10-16 13:23:03.154556,BPIC2018_P,147713,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,"[19316, 46537, 46582, 46729, 49795, 49895, 50806, 52867, 53070, 53176, 53236, 53386, 54784, 54915, 57626, 62633, 62634, 65637, 65847, 66387, 68101, 68178, 68210, 68244, 70192, 70230, 87086, 123972]",28,0.6758776915465199,0.0,0.36091,5316.033754566
