start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2025-10-16 00:54:37.472377,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[9710, 10707, 11921, 15044, 15181, 15422, 22919]",7,0.7735583864661462,0.0,0.37137,2463.918598561
2025-10-16 01:35:38.450396,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[9725, 10694, 11895, 15107, 15393, 23232]",6,0.7716034396841419,0.0,0.36494,2711.6014289830005
2025-10-16 02:20:47.237427,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[15148],1,0.543053550208911,0.0,0.20742,2224.5429827030002
2025-10-16 02:57:51.361374,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[15159],1,0.5444335126432669,0.0,0.20506,2195.005398192
2025-10-16 03:34:26.133856,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[15214],1,0.5336238069074787,0.0,0.18658,2215.5046221600005
2025-10-16 04:11:21.174459,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[15225],1,0.5167575993764614,0.0,0.17463,2221.3346479989996
2025-10-16 04:48:21.889300,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,"[15254, 15255]",2,0.5144576619858682,0.0,0.19206,2059.131539219001
2025-10-16 05:22:40.205155,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[9710, 9865, 10273, 10313, 10482, 10775, 10867, 11032, 11193, 11353, 11509, 11667, 11830, 11995, 15009, 15153, 15356, 16030, 22957, 60746, 92573, 92622, 92772, 92949, 93086, 93236]",26,0.7811609572850516,0.0,0.37594,2902.2020721320023
2025-10-16 06:10:51.374521,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[9725, 9873, 10360, 10362, 12010, 14900, 14930, 15085, 23163, 61702, 69236, 77938, 77949, 79759, 79781, 79870, 79966, 80116, 80357, 80466, 81919, 82579, 82713, 83066, 83315, 83365, 83521, 83836, 83922, 84076, 86582, 86733, 86892, 87043, 87294, 87406, 87847, 87860, 88119, 88274, 88409, 91240, 91363, 91581, 91697, 91956, 92072, 92218, 92386, 92526, 92684, 92830, 92980, 93395, 93413, 93594]",56,0.7646780726524667,0.0,0.3809,4141.219203616998
2025-10-16 07:19:30.146588,BPIC2020_PermitLog,93646,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,"[9818, 9921, 10329, 10373, 12080, 15068, 15198, 15397, 22964, 62819, 65419, 92400, 92420, 92512, 92869]",15,0.7841764307527184,0.0,0.37553,2524.2118104809997
