start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2025-10-16 00:52:50.130831,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[4734, 5600, 5686, 5911, 6001, 6202]",6,0.87861376011552,0.0,0.29291,233.178960665
2025-10-16 00:56:43.292739,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[4734, 5600, 5710, 5910, 6005, 6207, 19744]",7,0.8798471766794019,0.0,0.3454,295.178196448
2025-10-16 01:01:37.756725,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,"[4734, 5908, 6075, 6256, 20452]",5,0.8852320928973256,0.0,0.35785,226.47987831900002
2025-10-16 01:05:23.653344,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,"[4734, 5918, 6080, 6259, 20440]",5,0.8853524262206312,0.0,0.3596,284.53905041100006
2025-10-16 01:10:07.616522,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,"[4734, 6100, 6101, 6196, 17264, 17265]",6,0.8560813453265546,0.0,0.37534,268.76908150400004
2025-10-16 01:14:35.818522,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,"[6088, 6098, 17346]",3,0.8664300111308324,0.0,0.35813,292.60996359399996
2025-10-16 01:19:27.823941,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,"[6131, 6301]",2,0.8840287596642701,0.0,0.32731,208.35659904299996
2025-10-16 01:22:56.030242,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[4734, 4917, 5136, 5307, 5530, 5703, 5999, 6124, 7500, 7574, 7719, 7880, 8073, 8265, 8452, 8640, 8795, 8988, 9151, 9340, 9504, 9668, 9875, 10040, 10211, 10904, 10927, 11073, 11232, 11423, 11611, 11779, 11965, 12131, 12307, 12471, 12656, 12828, 13008, 13699, 14393, 14515, 14677, 14880, 15072, 15252, 15402, 15600, 15969, 16037, 16441, 16507, 16685, 16858, 17101, 17233, 17408, 19746, 19788, 19955, 20151, 20385, 21671, 21676, 21844, 22014, 22459, 22512, 22682, 22871, 23041, 23254, 23407, 23639, 23880]",75,0.8785836767846936,0.0,0.37751,391.5926792470002
2025-10-16 01:29:26.775904,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[4734, 4917, 5138, 5308, 5552, 5713, 6001, 6136, 7531, 7571, 7574, 7743, 7900, 8093, 8267, 8464, 8649, 8806, 9000, 9161, 9349, 10002, 10134, 10336, 10641, 10761, 10979, 11131, 12169, 12232, 12253, 12739, 12761, 13124, 13727, 14958, 15150, 15277, 15434, 15627, 15778, 15961, 16130, 16312, 16605, 16721, 16889, 17084, 17458, 17532, 17692, 17870, 18825, 19440, 19746, 19897, 20110, 20452, 21668, 21678, 21846, 22015, 22459, 22513, 22683, 22872, 23043, 23256, 23408, 23640, 23906]",71,0.8784031767997352,0.0,0.37229,379.66536150699994
2025-10-16 01:35:46.016807,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,"[4734, 4917, 5432, 5567, 5697, 6074, 6164, 6370, 6755, 6973, 7084, 7288, 7448, 7634, 7815, 8086, 11401, 13653, 15095, 15143, 15150, 15280, 15528, 15665, 15828, 16003, 16168, 16358, 16631, 16763, 16919, 17115, 17506, 17574, 19670, 19719, 19774, 19935, 20137, 20306, 21670, 21714, 21858, 22551, 23141, 24005, 30606]",47,0.8783430101380825,0.0,0.38091,366.48134144899996
2025-10-16 01:41:50.639472,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,"[4734, 4917, 6075, 6112, 6321, 7278, 7485, 12620, 16654, 17432, 23882]",11,0.8844499262958395,0.0,0.36728,266.1175276079998
2025-10-16 01:46:15.518715,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,"[4766, 4955, 5438, 6094, 6224, 20964]",6,0.8852922595589784,0.0,0.3594,271.6506174179999
2025-10-16 01:50:46.588293,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,"[6064, 6076, 6256, 20431]",4,0.8857435095213743,0.0,0.36056,271.06258303899995
2025-10-16 01:55:17.164374,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,"[6074, 6082, 6259]",3,0.8807496766041936,0.0,0.29791,204.5781645469997
2025-10-16 01:58:41.662711,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[4734, 4917, 5136, 5307, 5530, 5703, 5999, 6124, 7500, 7574, 7719, 7880, 8073, 8265, 8452, 8640, 8795, 8988, 9151, 9340, 9504, 9668, 9875, 10040, 10211, 10904, 10927, 11073, 11232, 11423, 11611, 11779, 11965, 12131, 12307, 12471, 12656, 12828, 13008, 13699, 14393, 14515, 14677, 14880, 15072, 15252, 15402, 15600, 15969, 16037, 16441, 16507, 16685, 16858, 17101, 17233, 17408, 19746, 19788, 19955, 20151, 20385, 21671, 21676, 21844, 22014, 22459, 22512, 22682, 22871, 23041, 23254, 23407, 23639, 23880]",75,0.8785836767846936,0.0,0.37751,384.8413939749994
2025-10-16 02:05:05.862104,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[4734, 4917, 5142, 5309, 5530, 5704, 6055, 6161, 6366, 7257, 7445, 12618, 15210, 15604, 15605, 15615, 15753, 15936, 16106, 16294, 16650, 16735, 16898, 17101, 17479, 17548, 17705, 17883, 18060, 18238, 18419, 18580, 18774, 18944, 19112, 19297, 19469, 19657, 19833, 20068, 20434, 21662, 21667, 21833, 22003, 22472, 22512, 22682, 22871, 23041, 23254, 23407, 23639, 23926]",54,0.8817424265214645,0.0,0.37757,338.6754235139997
2025-10-16 02:10:43.530739,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,"[4734, 4917, 6076, 6113, 6323, 7279, 7491, 12767, 16651, 17458]",10,0.8837880930176589,0.0,0.37718,239.69967861699934
2025-10-16 02:14:42.071030,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.645,"[4734, 4917, 6092, 6121, 6333, 16774, 24028]",7,0.8766282602809783,0.0,0.36729,265.56901045700033
2025-10-16 02:19:06.434791,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.326,"[6064, 6246, 6434, 6633, 18409, 20347]",6,0.8849011762582353,0.0,0.36712,264.95870785699935
2025-10-16 02:23:30.824302,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.576,"[6064, 6246, 6894, 20455, 23787, 23844, 24031, 24042, 24218]",9,0.886345176137902,0.0,0.37183,273.65514543799964
2025-10-16 02:28:03.632780,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,3.09,"[6064, 6246]",2,0.8787040101079991,0.0,0.29283,217.8332884649999
2025-10-16 02:31:41.435735,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0,"[4734, 4917, 5136, 5307, 5530, 5703, 5999, 6124, 7500, 7574, 7719, 7880, 8073, 8265, 8452, 8640, 8795, 8988, 9151, 9340, 9504, 9668, 9875, 10040, 10211, 10904, 10927, 11073, 11232, 11423, 11611, 11779, 11965, 12131, 12307, 12471, 12656, 12828, 13008, 13699, 14393, 14515, 14677, 14880, 15072, 15252, 15402, 15600, 15969, 16037, 16441, 16507, 16685, 16858, 17101, 17233, 17408, 19746, 19788, 19955, 20151, 20385, 21671, 21676, 21844, 22014, 22459, 22512, 22682, 22871, 23041, 23254, 23407, 23639, 23880]",75,0.8785836767846936,0.0,0.37751,411.16301475399996
2025-10-16 02:38:31.649566,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0.674,"[4734, 4917, 6088, 6118, 6330, 7292, 13026, 16745]",8,0.8869769260852561,0.0,0.36219,259.77478558500025
2025-10-16 02:42:50.443758,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.282,"[6064, 6246, 6434, 6633, 18409, 19123]",6,0.8839685930026172,0.0,0.36359,250.30339168200044
2025-10-16 02:47:00.169615,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.645,"[6064, 6246, 6434, 6633, 18409, 19163]",6,0.8839385096717909,0.0,0.36355,243.42823595299978
2025-10-16 02:51:03.012459,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.326,"[6064, 6246, 6434, 6633, 18409, 20020, 20092, 20100, 20162, 20184]",10,0.8858638428446798,0.0,0.36912,243.80410825200033
2025-10-16 02:55:06.285836,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.576,"[6064, 6246, 6434, 6633, 18409, 20077, 20089, 20102, 20159, 20185]",10,0.8855930928672423,0.0,0.3685,251.50954228000046
2025-10-16 02:59:17.211879,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,3.09,"[6064, 6246, 6434, 6633, 18409, 20347]",6,0.8849011762582353,0.0,0.36712,266.17715297999985
2025-10-16 03:03:42.912021,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0,"[6064, 6246, 6434, 6633, 18409, 19112]",6,0.8839685930026172,0.0,0.36359,238.4561722159997
2025-10-16 03:07:40.620408,BPIC2020_RequestForPayment,43682,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0.674,"[6064, 6246, 6434, 6633, 18409, 19112]",6,0.8839685930026172,0.0,0.36359,238.14757557800021
