start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2025-10-16 00:51:54.540469,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[1361, 2122, 2236]",3,0.8429644985747603,0.0,0.28352,55.792341521
2025-10-16 00:52:50.419774,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[1380, 2140]",2,0.844648872764965,0.0,0.32447,50.050451013
2025-10-16 00:53:40.525014,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[1396],1,0.8530707437159886,0.0,0.36032,52.030778944000005
2025-10-16 00:54:32.614341,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[1414],1,0.8529411764705882,0.0,0.37682,51.86842256899999
2025-10-16 00:55:24.556911,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[1434],1,0.8525524747343871,0.0,0.36658,52.73625851
2025-10-16 00:56:17.356276,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.7424203161440788,0.0,0.32662,85.21873684100001
2025-10-16 00:57:42.638371,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.7424203161440788,0.0,0.32662,85.91172953200004
2025-10-16 00:59:08.605856,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[1361, 1531, 1710, 1962, 2097, 2732]",6,0.8513863695257838,0.0,0.36588,67.04237950999999
2025-10-16 01:00:15.691519,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[1380, 1669, 1809, 2108, 2209, 2433, 2749, 2844, 3087, 3225, 5931, 8573]",12,0.8609743456854108,0.0,0.39958,102.57282122799995
2025-10-16 01:01:57.505987,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,[1398],1,0.8529411764705882,0.0,0.36028,53.420926064000014
2025-10-16 01:02:50.993136,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,[1415],1,0.8528116092251878,0.0,0.37679,52.38904922100005
2025-10-16 01:03:43.446171,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.7424203161440788,0.0,0.32662,82.84290266699998
2025-10-16 01:05:06.336446,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.7424203161440788,0.0,0.32662,83.07777298799999
2025-10-16 01:06:29.466615,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.7424203161440788,0.0,0.32662,84.53275176800003
2025-10-16 01:07:54.054122,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[1361, 1531, 1710, 1962, 2097, 2732]",6,0.8513863695257838,0.0,0.36588,65.85632100500004
2025-10-16 01:08:59.959106,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[1387, 1543, 1826, 2134, 2213, 2449, 2756, 2852, 3024, 3204, 5732, 5742, 6001, 7344, 7498]",15,0.8548846851515937,0.0,0.38748,92.928188107
2025-10-16 01:10:32.619898,Receipt,10011,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,"[1416, 1587, 2145]",3,0.8399844519305519,0.0,0.29525,57.537490744000024
