start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2025-10-16 00:52:26.703477,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[2931, 3116, 3319, 3541, 3706, 3889, 7131, 8924, 9730, 9900, 10376, 10392, 10579, 24327]",14,0.8344074844074844,0.0,0.31459,206.526565508
2025-10-16 00:55:52.361605,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[2931, 3116, 3640, 3658, 7075, 9817, 23584]",7,0.7938669438669439,0.0,0.29862,210.633180309
2025-10-16 00:59:21.547518,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,"[2931, 3182, 3612, 3663, 7330, 9804, 23396]",7,0.8069646569646569,0.0,0.3271,200.80871848700002
2025-10-16 01:02:41.040219,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,"[2931, 3188, 3775, 7435, 9157, 10065, 10586, 23281]",8,0.8233367983367983,0.0,0.29797,198.76189625099994
2025-10-16 01:05:59.023919,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,"[2931, 9745, 10071, 10651, 24006]",5,0.81995841995842,0.0,0.30307,192.41134164099992
2025-10-16 01:09:10.525129,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,"[2931, 9795, 10213, 10782, 23726]",5,0.831081081081081,0.0,0.30931,188.54167351399997
2025-10-16 01:12:18.302540,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,"[2948, 10164, 23943]",3,0.8208419958419958,0.0,0.35244,184.23236116399994
2025-10-16 01:15:21.647779,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[2931, 3116, 3308, 3509, 3684, 3868, 6349, 6365, 6393, 6579, 6769, 6955, 7132, 7303, 7620, 7724, 7890, 8196, 8354, 8514, 8700, 9020, 9130, 9357, 9503, 9691, 9870, 10515, 10664, 24029]",30,0.830977130977131,0.0,0.29886,230.38639795899985
2025-10-16 01:19:11.561261,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[2931, 3116, 3308, 3552, 3711, 3892, 7104, 7193, 7325, 7598, 8065, 8068, 8253, 9536, 9719, 9895, 10489, 10656, 11138, 11159, 12075, 12186, 13048, 13060, 13171, 13345, 22549, 25797, 25854]",29,0.8244282744282744,0.0,0.30594,227.786195164
2025-10-16 01:22:58.103098,helpdesk2017,25928,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,"[2931, 3184, 3343, 3545, 3722, 3912, 7121, 7330, 7363, 7586, 7700, 8349, 8425, 9721, 21065, 23325, 25326, 25398, 25501]",19,0.8148128898128898,0.0,0.27869,210.8836421840001
