start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 09:46:40.696045,prodrift_IOR_5k,57323,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.7896424324783421,0.0,0.64301,297.79061087300033
2026-08-05 09:57:43.391966,prodrift_IOR_5k,57323,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[6063, 12589]",2,0.8072660098522167,0.0,0.6857,562.95514979
2026-08-05 10:07:05.879639,prodrift_IOR_5k,57323,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[6102, 7466, 12290]",3,0.8051214540512994,0.0,0.67219,562.7706330660001
2026-08-05 10:16:28.083653,prodrift_IOR_5k,57323,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.7896424324783421,0.0,0.64301,580.098241808
2026-08-05 10:26:08.168842,prodrift_IOR_5k,57323,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.7896424324783421,0.0,0.64301,562.7641608129998
2026-08-05 10:35:30.789965,prodrift_IOR_5k,57323,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.7896424324783421,0.0,0.64301,561.9887309209998
2026-08-05 10:44:52.684936,prodrift_IOR_5k,57323,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.7896424324783421,0.0,0.64301,559.6860976169996
2026-08-05 10:54:12.331345,prodrift_IOR_5k,57323,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.7896424324783421,0.0,0.64301,543.9908879140003
2026-08-05 11:03:16.334462,prodrift_IOR_5k,57323,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[6063, 12589]",2,0.8072660098522167,0.0,0.6857,584.4766328710002
2026-08-05 11:13:00.295638,prodrift_IOR_5k,57323,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[6102, 7466, 12290]",3,0.8051214540512994,0.0,0.67219,566.4403770189992
