start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 09:51:38.456283,prodrift_IRO_5k,58647,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.7953006935099887,0.0,0.67313,329.6731854339996
2026-08-05 09:58:11.493004,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,[],0,0.7953006935099887,0.0,0.67313,567.8840001169999
2026-08-05 10:07:39.390605,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,[],0,0.7953006935099887,0.0,0.67313,565.0068508720001
2026-08-05 10:17:04.252291,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.7953006935099887,0.0,0.67313,594.285136705
2026-08-05 10:26:58.533716,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.7953006935099887,0.0,0.67313,570.9037497869999
2026-08-05 10:36:29.409179,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.7953006935099887,0.0,0.67313,585.154972372
2026-08-05 10:46:14.440091,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.7953006935099887,0.0,0.67313,566.0018557859999
2026-08-05 10:55:40.326362,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.7953006935099887,0.0,0.67313,562.442938444
2026-08-05 11:05:02.695178,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,[],0,0.7953006935099887,0.0,0.67313,582.0319758250002
2026-08-05 11:14:44.717499,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,[],0,0.7953006935099887,0.0,0.67313,559.1539951020004
2026-08-05 11:24:03.864453,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,[],0,0.7953006935099887,0.0,0.67313,583.3138021130007
2026-08-05 11:33:47.154484,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,[],0,0.7953006935099887,0.0,0.67313,566.8347395399996
2026-08-05 11:43:13.955568,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.7953006935099887,0.0,0.67313,556.057744488
2026-08-05 11:52:29.913433,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.7953006935099887,0.0,0.67313,571.8845694869997
2026-08-05 12:02:01.832233,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.7953006935099887,0.0,0.67313,550.6759120509996
2026-08-05 12:11:12.600917,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,[],0,0.7953006935099887,0.0,0.67313,586.7964371859998
2026-08-05 12:20:59.480052,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.7953006935099887,0.0,0.67313,542.3943564830006
2026-08-05 12:30:01.898017,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,[],0,0.7953006935099887,0.0,0.67313,584.092053634
2026-08-05 12:39:45.860200,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.645,[],0,0.7953006935099887,0.0,0.67313,579.8419042219994
2026-08-05 12:49:25.820666,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.326,[],0,0.7953006935099887,0.0,0.67313,554.519288775
2026-08-05 12:58:40.338990,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.576,[],0,0.7953006935099887,0.0,0.67313,580.9137198450007
2026-08-05 13:08:21.246284,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,3.09,[],0,0.7953006935099887,0.0,0.67313,553.2648689529997
2026-08-05 13:17:34.465308,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0,[],0,0.7953006935099887,0.0,0.67313,572.5693195029999
2026-08-05 13:27:07.069989,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0.674,[],0,0.7953006935099887,0.0,0.67313,556.6391974880007
2026-08-05 13:36:23.732890,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.282,[],0,0.7953006935099887,0.0,0.67313,575.332282378
2026-08-05 13:45:59.130951,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.645,[],0,0.7953006935099887,0.0,0.67313,568.837202105
2026-08-05 13:55:27.957516,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.326,[],0,0.7953006935099887,0.0,0.67313,577.7366574500011
2026-08-05 14:05:05.690670,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.576,[],0,0.7953006935099887,0.0,0.67313,569.7011472890008
2026-08-05 14:14:35.273001,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,3.09,[],0,0.7953006935099887,0.0,0.67313,569.8150834419994
2026-08-05 14:24:05.063845,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0,[],0,0.7953006935099887,0.0,0.67313,576.2027088739997
2026-08-05 14:33:41.296688,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0.674,[],0,0.7953006935099887,0.0,0.67313,591.3584832980014
2026-08-05 14:43:32.624554,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.282,[],0,0.7953006935099887,0.0,0.67313,540.4167285099975
2026-08-05 14:52:32.855841,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.645,[],0,0.7953006935099887,0.0,0.67313,594.2996244679998
2026-08-05 15:02:27.157709,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.326,[],0,0.7953006935099887,0.0,0.67313,574.1673566440004
2026-08-05 15:12:01.408890,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.576,[],0,0.7953006935099887,0.0,0.67313,537.2666422710026
2026-08-05 15:20:58.723720,prodrift_IRO_5k,58647,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,3.09,[],0,0.7953006935099887,0.0,0.67313,582.1309962499981
2026-08-05 15:30:40.860106,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0,[],0,0.7959217472311355,0.0,0.68518,912.7579388560007
2026-08-05 15:45:52.970053,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0.674,[],0,0.7959217472311355,0.0,0.68518,854.7290721319987
2026-08-05 16:00:07.273761,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.7959217472311355,0.0,0.68518,979.3564828680028
2026-08-05 16:16:26.204646,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.7959217472311355,0.0,0.68518,1047.2726308909987
2026-08-05 16:33:53.025693,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.7959217472311355,0.0,0.68518,1166.495828678002
2026-08-05 16:53:19.039957,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.7959217472311355,0.0,0.68518,1124.9988036720024
2026-08-05 17:12:03.436229,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.7959217472311355,0.0,0.68518,1097.161688319
2026-08-05 17:30:20.086378,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,0,[],0,0.7959217472311355,0.0,0.68518,1040.7319954859995
2026-08-05 17:47:40.290460,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,0.674,[],0,0.7959217472311355,0.0,0.68518,1046.6384248329996
2026-08-05 18:05:06.392018,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,1.282,[],0,0.7959217472311355,0.0,0.68518,1017.6044847429985
2026-08-05 18:22:03.519965,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,1.645,[],0,0.7959217472311355,0.0,0.68518,1009.5909966340005
2026-08-05 18:38:52.318040,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.7959217472311355,0.0,0.68518,1086.9796685779984
2026-08-05 18:56:58.794111,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.7959217472311355,0.0,0.68518,1036.4899986170021
2026-08-05 19:14:14.693487,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.7959217472311355,0.0,0.68518,1031.5515722100026
2026-08-05 19:31:25.807214,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,0,[],0,0.7959217472311355,0.0,0.68518,1041.8679299010037
2026-08-05 19:48:47.291662,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.7959217472311355,0.0,0.68518,1061.3633700259961
2026-08-05 20:06:27.317850,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,1.282,[],0,0.7959217472311355,0.0,0.68518,1032.4157721369993
2026-08-05 20:23:39.281672,prodrift_IRO_5k,58647,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,1.645,[],0,0.7959217472311355,0.0,0.68518,996.6278023479972
