start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 10:04:42.831556,prodrift_ORI_5k,59618,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.8038673471462556,0.0,0.6864,471.4996469309999
2026-08-05 09:59:05.694329,prodrift_ORI_5k,59618,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[6294, 12558, 12698, 12860, 13598, 14795, 18144, 18261, 22659, 24115, 24628, 31134, 31156, 37641, 37995, 42805, 51465]",17,0.8201744576157459,0.0,0.77442,766.192192871
2026-08-05 10:11:49.249740,prodrift_ORI_5k,59618,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[6300, 12582, 12685, 13802, 18746, 18765, 26407]",7,0.8307069803379353,0.0,0.77948,669.8607648210001
2026-08-05 10:22:58.005469,prodrift_ORI_5k,59618,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.8038673471462556,0.0,0.6864,551.0398619530001
2026-08-05 10:32:08.930440,prodrift_ORI_5k,59618,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.8038673471462556,0.0,0.6864,543.3035384269999
2026-08-05 10:41:12.301489,prodrift_ORI_5k,59618,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.8038673471462556,0.0,0.6864,540.7630280930002
2026-08-05 10:50:12.884950,prodrift_ORI_5k,59618,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.8038673471462556,0.0,0.6864,538.6191864480002
2026-08-05 10:59:11.527425,prodrift_ORI_5k,59618,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.8038673471462556,0.0,0.6864,528.5469717140004
2026-08-05 11:08:00.068276,prodrift_ORI_5k,59618,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[6294, 12558, 12710, 18157, 18766, 24909, 24970, 30190]",8,0.8202151237266424,0.0,0.7562,623.931789403
2026-08-05 11:18:22.276499,prodrift_ORI_5k,59618,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[6302, 12592, 12598, 12721, 18166]",5,0.8177344909619568,0.0,0.73216,561.5171053490003
