start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 10:12:34.326946,prodrift_RIO_5k,58426,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.8068607068607069,0.0,0.70635,442.4945015510002
2026-08-05 09:59:24.604076,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[6170, 6707, 8957, 13025]",4,0.813076923076923,0.0,0.72805,599.38740368
2026-08-05 10:09:23.108239,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[6187, 15464, 22065]",3,0.8160914760914761,0.0,0.72768,651.7378363520002
2026-08-05 10:20:14.141332,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.8068607068607069,0.0,0.70635,564.945419725
2026-08-05 10:29:39.078437,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.8068607068607069,0.0,0.70635,537.8688623680002
2026-08-05 10:38:36.926430,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.8068607068607069,0.0,0.70635,536.87904183
2026-08-05 10:47:33.877878,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.8068607068607069,0.0,0.70635,540.7721542730001
2026-08-05 10:56:34.654924,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.8068607068607069,0.0,0.70635,528.761441568
2026-08-05 11:05:23.434517,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[6170, 6707, 8957, 13025]",4,0.813076923076923,0.0,0.72805,571.2301965900006
2026-08-05 11:14:53.956860,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[6198, 14880, 15059, 20637, 29620]",5,0.8125779625779626,0.0,0.73772,605.0518185310002
2026-08-05 11:24:57.799647,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,[],0,0.8068607068607069,0.0,0.70635,535.4185694520002
2026-08-05 11:33:53.060406,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,[],0,0.8068607068607069,0.0,0.70635,522.6387994839997
2026-08-05 11:42:35.675028,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.8068607068607069,0.0,0.70635,528.407182166
2026-08-05 11:51:24.087420,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.8068607068607069,0.0,0.70635,508.75824869699954
2026-08-05 11:59:52.931062,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.8068607068607069,0.0,0.70635,513.6066072479998
2026-08-05 12:08:26.566886,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[6170, 6707, 8957, 13025]",4,0.813076923076923,0.0,0.72805,556.4242097610004
2026-08-05 12:17:42.604224,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[6205, 14880, 23477, 23488, 23587, 25978, 26377, 30785]",8,0.8129106029106029,0.0,0.73573,614.5230592309999
2026-08-05 12:27:55.945998,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,[],0,0.8068607068607069,0.0,0.70635,525.8149997920009
2026-08-05 12:36:41.785709,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.645,[],0,0.8068607068607069,0.0,0.70635,529.0995337940003
2026-08-05 12:45:30.955075,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.326,[],0,0.8068607068607069,0.0,0.70635,525.0415548839992
2026-08-05 12:54:16.010023,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.576,[],0,0.8068607068607069,0.0,0.70635,522.8300499859997
2026-08-05 13:02:58.668975,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,3.09,[],0,0.8068607068607069,0.0,0.70635,528.3603544169982
2026-08-05 13:11:46.880766,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0,"[6170, 6707, 8957, 13025]",4,0.813076923076923,0.0,0.72805,555.3458897349992
2026-08-05 13:21:01.395094,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0.674,[],0,0.8068607068607069,0.0,0.70635,536.3242049619985
2026-08-05 13:29:57.748147,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.282,[],0,0.8068607068607069,0.0,0.70635,542.186196351
2026-08-05 13:39:00.010175,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.645,[],0,0.8068607068607069,0.0,0.70635,533.8891216479988
2026-08-05 13:47:53.922878,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.326,[],0,0.8068607068607069,0.0,0.70635,511.8164364740005
2026-08-05 13:56:25.772356,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.576,[],0,0.8068607068607069,0.0,0.70635,526.3671324280003
2026-08-05 14:05:12.311925,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,3.09,[],0,0.8068607068607069,0.0,0.70635,541.1167935779995
2026-08-05 14:14:13.407491,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0,[],0,0.8068607068607069,0.0,0.70635,513.2106866850008
2026-08-05 14:22:46.531379,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0.674,[],0,0.8068607068607069,0.0,0.70635,534.0709641170015
2026-08-05 14:31:40.586531,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.282,[],0,0.8068607068607069,0.0,0.70635,541.2719747060019
2026-08-05 14:40:41.770108,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.645,[],0,0.8068607068607069,0.0,0.70635,499.9996181739989
2026-08-05 14:49:01.818727,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.326,[],0,0.8068607068607069,0.0,0.70635,555.2128542350001
2026-08-05 14:58:16.938618,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.576,[],0,0.8068607068607069,0.0,0.70635,556.6182828609999
2026-08-05 15:07:33.558506,prodrift_RIO_5k,58426,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,3.09,[],0,0.8068607068607069,0.0,0.70635,529.5481051570023
2026-08-05 15:16:23.075285,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0,"[6170, 6767, 6906, 12476, 12967, 22283]",6,0.8170893970893971,0.0,0.7052,938.428201734001
2026-08-05 15:32:00.391360,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0.674,"[6187, 14720, 22116, 22145]",4,0.8160498960498961,0.0,0.73371,931.8911392690025
2026-08-05 15:47:31.054517,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.8070686070686071,0.0,0.69075,850.1742222709981
2026-08-05 16:01:40.886489,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.8070686070686071,0.0,0.69075,881.5812770910015
2026-08-05 16:16:22.388287,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.8070686070686071,0.0,0.69075,1120.7609761189997
2026-08-05 16:35:02.755948,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.8070686070686071,0.0,0.69075,1049.5518959110013
2026-08-05 16:52:31.967927,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.8070686070686071,0.0,0.69075,891.3106352909999
2026-08-05 17:07:22.953981,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,0,"[6170, 6767, 6906, 12476, 12967, 19315, 24006, 24070, 24084, 24089, 24253, 24419, 24745, 24859, 25012, 25199, 25406, 25543, 25707, 26232, 26546, 27177, 27285, 29869, 29916, 30044, 30248, 30389, 30845, 31349, 34700, 35341, 35765, 35776, 35785, 35902, 36067, 36532, 36548, 36711, 37251, 38052, 41648, 41951, 48718, 52598]",46,0.8160498960498961,0.0,0.74025,1133.3007707979996
2026-08-05 17:26:13.590133,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,0.674,"[6198, 14880, 21627, 27232, 33090]",5,0.8115592515592516,0.0,0.73422,997.8483324059998
2026-08-05 17:42:49.759223,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,1.282,[],0,0.8070686070686071,0.0,0.69075,917.578882288999
2026-08-05 17:58:07.030391,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,1.645,[],0,0.8070686070686071,0.0,0.69075,915.7274106959994
2026-08-05 18:13:22.146518,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.8070686070686071,0.0,0.69075,864.9658702060005
2026-08-05 18:27:46.766339,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.8070686070686071,0.0,0.69075,830.379485559999
2026-08-05 18:41:36.718915,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.8070686070686071,0.0,0.69075,828.3443182520023
2026-08-05 18:55:24.761318,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,0,"[6170, 6767, 6906, 12476, 12967, 19315, 24006, 24070, 24084, 24089, 24253, 24419, 24745, 24859, 25012, 25199, 25406, 25543, 25707, 26232, 26546, 27177, 27285, 29869, 29916, 30044, 30248, 30389, 30845, 31349, 34700, 35341, 35765, 35776, 35785, 35902, 36067, 36532, 36548, 36711, 37251, 38052, 41648, 41951, 48718, 52598]",46,0.8160498960498961,0.0,0.74025,1060.6944518699966
2026-08-05 19:13:02.670848,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,0.674,"[6204, 9031, 13795, 19403]",4,0.8185862785862786,0.0,0.73391,954.2844991590027
2026-08-05 19:28:55.826412,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,1.282,[],0,0.8070686070686071,0.0,0.69075,908.9867710640028
2026-08-05 19:44:04.465202,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,1.645,[],0,0.8070686070686071,0.0,0.69075,872.873089808003
2026-08-05 19:58:36.877561,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,2.326,[],0,0.8070686070686071,0.0,0.69075,876.1781444799999
2026-08-05 20:13:12.626892,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,2.576,[],0,0.8070686070686071,0.0,0.69075,858.675988035
2026-08-05 20:27:30.765821,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,3.09,[],0,0.8070686070686071,0.0,0.69075,863.326904153997
2026-08-05 20:41:53.793601,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,0,"[6170, 6767, 6906, 12476, 12967, 19315, 24006, 24070, 24084, 24089, 24253, 24419, 24745, 24859, 25012, 25199, 25406, 25543, 25707, 26232, 26546, 27177, 27285, 29869, 29916, 30044, 30248, 30389, 30845, 31349, 34700, 35341, 35765, 35776, 35785, 35902, 36067, 36532, 36548, 36711, 37251, 38052, 41648, 41951, 48718, 52598]",46,0.8160498960498961,0.0,0.74025,1116.532426968006
2026-08-05 21:00:27.301513,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,0.674,[],0,0.8070686070686071,0.0,0.69075,923.2897142700022
2026-08-05 21:15:50.250476,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,1.282,[],0,0.8070686070686071,0.0,0.69075,854.5853789040048
2026-08-05 21:30:04.343286,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,1.645,[],0,0.8070686070686071,0.0,0.69075,848.7590223430016
2026-08-05 21:44:12.728800,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,2.326,[],0,0.8070686070686071,0.0,0.69075,848.4692835000023
2026-08-05 21:58:20.848533,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,2.576,[],0,0.8070686070686071,0.0,0.69075,847.5716030719996
2026-08-05 22:12:28.160900,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,3.09,[],0,0.8070686070686071,0.0,0.69075,811.8647012319998
2026-08-05 22:25:59.739527,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,0,[],0,0.8070686070686071,0.0,0.69075,941.7113757900006
2026-08-05 22:41:41.088325,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,0.674,[],0,0.8070686070686071,0.0,0.69075,915.4612021430003
2026-08-05 22:56:56.181460,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,1.282,[],0,0.8070686070686071,0.0,0.69075,874.6352103429963
2026-08-05 23:11:30.352401,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,1.645,[],0,0.8070686070686071,0.0,0.69075,843.7162475109944
2026-08-05 23:25:33.681168,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,2.326,[],0,0.8070686070686071,0.0,0.69075,863.1139932719962
2026-08-05 23:39:56.440911,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,2.576,[],0,0.8070686070686071,0.0,0.69075,859.6684190989981
2026-08-05 23:54:15.741377,prodrift_RIO_5k,58426,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,3.09,[],0,0.8070686070686071,0.0,0.69075,849.3545802980007
2026-08-06 00:08:24.558251,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[6170, 6707, 8957, 13025]",4,0.813076923076923,0.0,0.72805,505.88774840200495
2026-08-06 00:16:49.607744,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[6187, 15464, 22065]",3,0.8160914760914761,0.0,0.72768,560.9557428230037
2026-08-06 00:26:09.652728,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.8068607068607069,0.0,0.70635,506.79352438500064
2026-08-06 00:34:36.340533,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.8068607068607069,0.0,0.70635,510.2491997399993
2026-08-06 00:43:06.516201,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.8068607068607069,0.0,0.70635,513.1618405959962
2026-08-06 00:51:39.620317,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.8068607068607069,0.0,0.70635,510.97182045999944
2026-08-06 01:00:10.508146,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.8068607068607069,0.0,0.70635,523.0087396699964
2026-08-06 01:08:53.479877,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[6170, 6707, 8957, 13025]",4,0.813076923076923,0.0,0.72805,533.6505584390034
2026-08-06 01:17:46.301646,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[6198, 14880, 15059, 20637, 29620]",5,0.8125779625779626,0.0,0.73772,586.8822744839999
2026-08-06 01:27:31.642245,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,[],0,0.8068607068607069,0.0,0.70635,520.5719983300005
2026-08-06 01:36:11.928323,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,[],0,0.8068607068607069,0.0,0.70635,533.5418800949992
2026-08-06 01:45:05.137814,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.8068607068607069,0.0,0.70635,527.9650304739989
2026-08-06 01:53:52.877202,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.8068607068607069,0.0,0.70635,535.6359479079983
2026-08-06 02:02:48.111322,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.8068607068607069,0.0,0.70635,529.3490430149977
2026-08-06 02:11:37.263105,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[6170, 6707, 8957, 13025]",4,0.813076923076923,0.0,0.72805,542.3792012659978
2026-08-06 02:20:38.333876,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[6205, 14880, 23477, 23488, 23574, 25895, 31678, 39319]",8,0.8087941787941788,0.0,0.73488,605.3095808879953
2026-08-06 02:30:40.686345,prodrift_RIO_5k,58426,ILP,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,[],0,0.8068607068607069,0.0,0.70635,486.1119464459989
