start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 10:19:56.770151,prodrift_ROI_5k,56995,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.7371648328170067,0.0,0.63742,396.02174505899984
2026-08-05 09:59:41.031447,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[6365, 12251, 12258, 17259, 17351, 23912]",6,0.8347185129793826,0.0,0.73059,602.988181658
2026-08-05 10:09:42.927795,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[6541, 12302, 12326, 18330, 23790, 23921, 28954]",7,0.811409037495994,0.0,0.73016,645.3552127410001
2026-08-05 10:20:26.985703,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,"[6761, 12788]",2,0.830958230958231,0.0,0.71065,558.1569167959999
2026-08-05 10:29:44.870810,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,"[7327, 13415, 20540, 26847]",4,0.8025851938895417,0.0,0.71217,573.9223370269999
2026-08-05 10:39:17.537402,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.7371648328170067,0.0,0.63742,516.7550133889999
2026-08-05 10:47:54.308036,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.7371648328170067,0.0,0.63742,519.369202421
2026-08-05 10:56:33.709400,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.7371648328170067,0.0,0.63742,509.0718335659999
2026-08-05 11:05:02.799392,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[6041, 12133, 12312, 12368, 12427, 12598, 12780, 12937, 13243, 13637, 13655, 13817, 14558, 14714, 15420, 15537, 15583, 15748, 15912, 17105, 17264, 23231, 23696, 28585, 28746, 34422, 34728, 36049, 36075, 36202, 39886, 39914, 39995, 40203, 40871, 41196, 41256, 41438, 45664, 45718, 46057, 46135, 46667, 46682, 46830, 46994, 48614, 48663, 48755, 48919, 50236, 50338, 50339, 50458, 51112, 51260, 51310, 51475, 51639, 52172, 52207, 52342]",62,0.8477726738596304,0.0,0.75877,680.300997239
2026-08-05 11:16:21.043255,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[6533, 12299]",2,0.830488195705587,0.0,0.70962,527.8794041989995
2026-08-05 11:25:08.569445,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,"[6641, 12251]",2,0.8299967952141866,0.0,0.71127,521.2112481570002
2026-08-05 11:33:49.350601,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,"[6713, 12217]",2,0.831470996688388,0.0,0.71495,516.1008473080001
2026-08-05 11:42:25.014152,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,"[7345, 13630, 22491, 28168, 29460, 36637]",6,0.8028202115158637,0.0,0.71753,596.083979989
2026-08-05 11:52:19.787722,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.7371648328170067,0.0,0.63742,483.1267716909997
2026-08-05 12:00:22.917023,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.7371648328170067,0.0,0.63742,493.6958234720005
2026-08-05 12:08:36.565207,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[6041, 12133, 12312, 12368, 12427, 12598, 12780, 12937, 13243, 13637, 13655, 13817, 14558, 14714, 15420, 15537, 15583, 15748, 15912, 17105, 17264, 23231, 23696, 28585, 28746, 34422, 34728, 36049, 36075, 36202, 39886, 39914, 39995, 40203, 40871, 41196, 41256, 41438, 45664, 45718, 46057, 46135, 46667, 46682, 46830, 46994, 48614, 48663, 48755, 48919, 50236, 50338, 50339, 50458, 51112, 51260, 51310, 51475, 51639, 52172, 52207, 52342]",62,0.8477726738596304,0.0,0.75877,676.4903735450007
2026-08-05 12:19:51.097856,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[6489, 12243]",2,0.8323042409998932,0.0,0.71394,547.8972058629988
2026-08-05 12:28:58.558483,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,"[6639, 12274]",2,0.830958230958231,0.0,0.70959,513.6173428860002
2026-08-05 12:37:31.910609,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.645,"[6688, 12170]",2,0.8320905886123278,0.0,0.72375,518.0233357710003
2026-08-05 12:46:09.615184,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.326,"[6819, 13230]",2,0.8292062813801945,0.0,0.71121,510.8046601649985
2026-08-05 12:54:40.109568,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.576,"[7194, 13760]",2,0.8041234910800128,0.0,0.71211,506.71185885200066
2026-08-05 13:03:06.501653,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,3.09,[],0,0.7371648328170067,0.0,0.63742,504.4366519209998
2026-08-05 13:11:30.901868,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0,"[6041, 12133, 12312, 12368, 12427, 12598, 12780, 12937, 13243, 13637, 13655, 13817, 14558, 14714, 15420, 15537, 15583, 15748, 15912, 17105, 17264, 23231, 23696, 28585, 28746, 34422, 34728, 36049, 36075, 36202, 39886, 39914, 39995, 40203, 40871, 41196, 41256, 41438, 45664, 45718, 46057, 46135, 46667, 46682, 46830, 46994, 48614, 48663, 48755, 48919, 50236, 50338, 50339, 50458, 51112, 51260, 51310, 51475, 51639, 52172, 52207, 52342]",62,0.8477726738596304,0.0,0.75877,692.3379923479988
2026-08-05 13:23:01.120405,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0.674,"[6065, 12256]",2,0.8320905886123278,0.0,0.71389,519.1642499469999
2026-08-05 13:31:40.027698,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.282,"[6642, 12797]",2,0.8294199337677599,0.0,0.69395,520.4361604490005
2026-08-05 13:40:20.277564,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.645,"[6688, 13072]",2,0.8305950218993697,0.0,0.71626,522.0223660200008
2026-08-05 13:49:02.046738,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.326,"[6819, 14298, 19716]",3,0.8216857173378912,0.0,0.71108,527.4523335899994
2026-08-05 13:57:48.747798,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.576,"[7195, 15174, 21726]",3,0.8138019442367268,0.0,0.7146,533.8898100289989
2026-08-05 14:06:41.742354,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,3.09,[],0,0.7371648328170067,0.0,0.63742,510.6970402530005
2026-08-05 14:15:12.373904,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0,[6041],1,0.8313428052558487,0.0,0.70257,486.4037362049985
2026-08-05 14:23:18.783617,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0.674,[6065],1,0.8309795961969875,0.0,0.70884,509.4357765879995
2026-08-05 14:31:48.229808,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.282,[6673],1,0.8323469714774062,0.0,0.72324,505.9745732150004
2026-08-05 14:40:14.190839,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.645,[6711],1,0.8323683367161628,0.0,0.72344,513.5102699320014
2026-08-05 14:48:47.713081,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.326,[],0,0.7371648328170067,0.0,0.63742,532.4321854439986
2026-08-05 14:57:39.974978,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.576,[],0,0.7371648328170067,0.0,0.63742,525.5171039460001
2026-08-05 15:06:25.510976,prodrift_ROI_5k,56995,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,3.09,[],0,0.7371648328170067,0.0,0.63742,514.5249945639989
2026-08-05 15:15:00.091770,prodrift_ROI_5k,56995,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0,"[6138, 12442]",2,0.8267279136844354,0.0,0.69489,853.9887989960007
2026-08-05 15:29:13.307740,prodrift_ROI_5k,56995,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0.674,"[6146, 12406]",2,0.8311718833457964,0.0,0.69419,848.5862237389993
2026-08-05 15:43:21.051459,prodrift_ROI_5k,56995,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.282,"[6813, 13328]",2,0.8280952889648542,0.0,0.69945,850.678911433999
2026-08-05 15:57:30.974596,prodrift_ROI_5k,56995,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.645,"[6829, 13339]",2,0.8285866894562547,0.0,0.70492,861.5624756340003
2026-08-05 16:11:51.926527,prodrift_ROI_5k,56995,IND,Transformer,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.6940925114838158,0.0,0.59975,1021.8333809899996
