start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 08:49:51.813546,prodrift_cf_5k,57989,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.804208849483326,0.0,0.68815,274.924879832
2026-08-05 08:03:08.724796,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[6426, 6435, 13258]",3,0.8244775618855981,0.0,0.75222,917.516639271
2026-08-05 08:18:23.579432,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[6467, 13418, 21405, 28531]",4,0.8146261711626737,0.0,0.74535,926.5493185570001
2026-08-05 08:33:46.244519,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.804208849483326,0.0,0.68815,793.8230771840001
2026-08-05 08:46:58.254155,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.804208849483326,0.0,0.68815,453.14492002099996
2026-08-05 08:54:27.651845,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.804208849483326,0.0,0.68815,352.52600567599984
2026-08-05 09:00:20.102398,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.804208849483326,0.0,0.68815,349.898077628
2026-08-05 09:06:10.011818,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.804208849483326,0.0,0.68815,381.90846523599976
2026-08-05 09:12:31.785391,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[6426, 6435, 6598, 6762, 12544, 12574, 12699, 12865, 13074, 13218, 13668, 13691, 13853, 14376, 16209, 17803, 18963, 24047]",18,0.8242260370160767,0.0,0.76222,499.8866654610001
2026-08-05 09:20:50.700272,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[6533, 12618]",2,0.8253578989289233,0.0,0.73854,473.902078008
2026-08-05 09:28:44.207722,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,[],0,0.804208849483326,0.0,0.68815,490.37379140100074
2026-08-05 09:36:54.531680,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,[],0,0.804208849483326,0.0,0.68815,449.82348837300015
2026-08-05 09:44:24.475048,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.804208849483326,0.0,0.68815,449.29205995399934
2026-08-05 09:51:53.735347,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.804208849483326,0.0,0.68815,472.77107788600006
2026-08-05 09:59:46.435653,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.804208849483326,0.0,0.68815,547.069917281
2026-08-05 10:08:53.251005,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[6426, 6435, 6598, 6762, 12544, 12574, 12699, 12865, 13074, 13218, 13668, 13691, 13853, 14376, 16209, 17803, 18963, 24047]",18,0.8242260370160767,0.0,0.76222,583.4064772559996
2026-08-05 10:18:35.841535,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[6727, 12612, 12620, 12630, 12751, 13491, 18252, 18263, 20278, 23936]",10,0.8266784044939111,0.0,0.76351,617.6891862879993
2026-08-05 10:28:52.498892,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,[],0,0.804208849483326,0.0,0.68815,545.3125667669992
2026-08-05 10:37:57.759614,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.645,[],0,0.804208849483326,0.0,0.68815,579.4966054710003
2026-08-05 10:47:37.279079,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.326,[],0,0.804208849483326,0.0,0.68815,550.5400368669998
2026-08-05 10:56:47.860004,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.576,[],0,0.804208849483326,0.0,0.68815,546.015927126
2026-08-05 11:05:53.800736,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,3.09,[],0,0.804208849483326,0.0,0.68815,566.1140936219999
2026-08-05 11:15:19.919900,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0,"[6426, 6435, 6598, 6762, 12544, 12574, 12699, 12865, 13074, 13218, 13668, 13691, 13853, 14376, 16209, 17803, 18963, 24047]",18,0.8242260370160767,0.0,0.76222,589.091490028999
2026-08-05 11:25:08.044224,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0.674,[],0,0.804208849483326,0.0,0.68815,574.9441562359989
2026-08-05 11:34:42.814168,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.282,[],0,0.804208849483326,0.0,0.68815,551.7346495769998
2026-08-05 11:43:54.390163,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.645,[],0,0.804208849483326,0.0,0.68815,545.9548108990002
2026-08-05 11:53:00.248837,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.326,[],0,0.804208849483326,0.0,0.68815,556.8646637129987
2026-08-05 12:02:17.006815,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.576,[],0,0.804208849483326,0.0,0.68815,533.5680870190008
2026-08-05 12:11:10.659478,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,3.09,[],0,0.804208849483326,0.0,0.68815,573.4652422360014
2026-08-05 12:20:44.032556,prodrift_cf_5k,57989,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0,[],0,0.804208849483326,0.0,0.68815,529.4926888600003
