start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 09:19:34.602375,prodrift_cp_5k,59029,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.803774050320671,0.0,0.71011,357.6764652410002
2026-08-05 09:12:05.734918,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[6362, 14210]",2,0.8134969577372143,0.0,0.7158,509.20345498399996
2026-08-05 09:20:34.410340,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[6496, 13384]",2,0.8132708436112481,0.0,0.70966,503.331382275
2026-08-05 09:28:57.373685,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,"[6532, 13174]",2,0.818183686893603,0.0,0.702,496.72582201599994
2026-08-05 09:37:13.694925,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.803774050320671,0.0,0.71011,482.5048952870002
2026-08-05 09:45:16.240036,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.803774050320671,0.0,0.71011,477.9272801720001
2026-08-05 09:53:14.358464,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.803774050320671,0.0,0.71011,505.98560017399996
2026-08-05 10:01:40.489179,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.803774050320671,0.0,0.71011,588.029801052
2026-08-05 10:11:28.402566,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[6362, 12909]",2,0.8188825851011347,0.0,0.69806,618.4931681570001
2026-08-05 10:21:46.570269,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[6496, 12909]",2,0.8183686893603026,0.0,0.70252,568.747907678
2026-08-05 10:31:15.011431,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,[],0,0.803774050320671,0.0,0.71011,535.6758503880001
2026-08-05 10:40:10.664254,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,[],0,0.803774050320671,0.0,0.71011,536.0224078849997
2026-08-05 10:49:06.573205,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.803774050320671,0.0,0.71011,543.5316602830007
2026-08-05 10:58:10.080625,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.803774050320671,0.0,0.71011,531.0499852009998
2026-08-05 11:07:01.034630,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.803774050320671,0.0,0.71011,556.0826778810006
2026-08-05 11:16:17.043871,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[6362, 12909]",2,0.8188825851011347,0.0,0.69806,547.525586367
2026-08-05 11:25:23.915461,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[6520, 12909]",2,0.8185331359973689,0.0,0.70051,553.3309593389995
2026-08-05 11:34:36.870014,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,[],0,0.803774050320671,0.0,0.71011,527.8333008110003
2026-08-05 11:43:24.611229,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.645,[],0,0.803774050320671,0.0,0.71011,530.5663665740012
2026-08-05 11:52:15.160094,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.326,[],0,0.803774050320671,0.0,0.71011,514.0188080019998
2026-08-05 12:00:49.148063,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.576,[],0,0.803774050320671,0.0,0.71011,530.8383841659997
2026-08-05 12:09:40.034272,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,3.09,[],0,0.803774050320671,0.0,0.71011,536.1454199180007
2026-08-05 12:18:36.329725,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0,"[6362, 12909]",2,0.8188825851011347,0.0,0.69806,564.7850505300012
2026-08-05 12:28:00.826561,prodrift_cp_5k,59029,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0.674,[],0,0.803774050320671,0.0,0.71011,517.4341032960001
