start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 09:41:16.296644,prodrift_fr_5k,56699,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.8163396867009046,0.0,0.70522,324.3013404329995
2026-08-05 09:13:26.887824,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[5992, 6179, 8688, 8714, 9614, 9673]",6,0.8167264757075016,0.0,0.70517,461.292414782
2026-08-05 09:21:07.704098,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[5993, 6803, 6848, 7388, 7396]",5,0.8271912671637621,0.0,0.69735,451.535764216
2026-08-05 09:28:39.318006,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.8163396867009046,0.0,0.70522,480.621466921
2026-08-05 09:36:39.925004,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.8163396867009046,0.0,0.70522,444.46486460899996
2026-08-05 09:44:04.453258,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.8163396867009046,0.0,0.70522,440.5000378750001
2026-08-05 09:51:24.941483,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.8163396867009046,0.0,0.70522,453.20506868600023
2026-08-05 09:58:58.203993,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.8163396867009046,0.0,0.70522,533.4597641770001
2026-08-05 10:07:51.600655,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[5992, 6179, 6844, 7091, 7253, 8640, 13378]",7,0.8187033972967747,0.0,0.74109,549.017099095
2026-08-05 10:17:00.232365,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[5993, 6806, 6847, 7020, 7137, 9375, 13032]",7,0.8184025614027548,0.0,0.73104,576.9139819910006
2026-08-05 10:26:36.399471,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,[],0,0.8163396867009046,0.0,0.70522,550.5151789319998
2026-08-05 10:35:46.812303,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,[],0,0.8163396867009046,0.0,0.70522,556.4322935829996
2026-08-05 10:45:03.218423,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.8163396867009046,0.0,0.70522,551.4671943610001
2026-08-05 10:54:14.622520,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.8163396867009046,0.0,0.70522,538.933971212
2026-08-05 11:03:13.522290,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,[],0,0.8163396867009046,0.0,0.70522,563.5132909640006
2026-08-05 11:12:37.006057,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[5992, 6179, 6844, 7091, 7253, 8640, 13378]",7,0.8187033972967747,0.0,0.74109,564.4100267140002
2026-08-05 11:22:00.912359,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[6276, 8480, 14119]",3,0.8145346713367858,0.0,0.72356,578.1619743960009
2026-08-05 11:31:38.092614,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,[],0,0.8163396867009046,0.0,0.70522,557.2987132210001
2026-08-05 11:40:55.289809,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.645,[],0,0.8163396867009046,0.0,0.70522,524.9891409109987
2026-08-05 11:49:40.252568,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.326,[],0,0.8163396867009046,0.0,0.70522,565.65490804
2026-08-05 11:59:05.873843,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.576,[],0,0.8163396867009046,0.0,0.70522,531.1052512299993
2026-08-05 12:07:56.710518,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,3.09,[],0,0.8163396867009046,0.0,0.70522,562.2425688299991
2026-08-05 12:17:18.960194,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0,"[5992, 6179, 6844, 7091, 7253, 8640, 13378]",7,0.8187033972967747,0.0,0.74109,559.1648970039987
2026-08-05 12:26:37.804893,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0.674,[],0,0.8163396867009046,0.0,0.70522,552.9267548240005
2026-08-05 12:35:50.629786,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.282,[],0,0.8163396867009046,0.0,0.70522,582.7350599090005
2026-08-05 12:45:33.273724,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.645,[],0,0.8163396867009046,0.0,0.70522,558.6404146749992
2026-08-05 12:54:51.815081,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.326,[],0,0.8163396867009046,0.0,0.70522,561.9993750309986
2026-08-05 13:04:13.742632,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.576,[],0,0.8163396867009046,0.0,0.70522,543.4839079649992
2026-08-05 13:13:17.094895,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,3.09,[],0,0.8163396867009046,0.0,0.70522,541.8188721369988
2026-08-05 13:22:18.856703,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0,[],0,0.8163396867009046,0.0,0.70522,558.4310499699986
2026-08-05 13:31:37.303812,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0.674,[],0,0.8163396867009046,0.0,0.70522,526.669338007001
2026-08-05 13:40:24.089282,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.282,[],0,0.8163396867009046,0.0,0.70522,543.4458206950003
2026-08-05 13:49:27.494580,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.645,[],0,0.8163396867009046,0.0,0.70522,528.4182418089986
2026-08-05 13:58:15.861220,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.326,[],0,0.8163396867009046,0.0,0.70522,525.4148686180015
2026-08-05 14:07:01.251384,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.576,[],0,0.8163396867009046,0.0,0.70522,537.8427281790027
2026-08-05 14:15:58.859850,prodrift_fr_5k,56699,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,3.09,[],0,0.8163396867009046,0.0,0.70522,530.5322913950004
2026-08-05 14:24:49.220444,prodrift_fr_5k,56699,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0,"[5992, 6854, 14141]",3,0.814233835442766,0.0,0.71229,917.2779013379986
2026-08-05 14:40:05.537764,prodrift_fr_5k,56699,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0.674,"[5992, 6854, 14141]",3,0.814233835442766,0.0,0.71229,862.6758261989999
