start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 09:02:13.200411,prodrift_pl_5k,56936,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.806336371026398,0.0,0.68449,230.5628419689997
2026-08-05 09:11:01.920003,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[6208, 12136, 12138, 12267, 12380, 12710, 12809, 12989, 13224, 13747, 14421, 14477, 18108, 18138, 23841]",15,0.8551961665169212,0.0,0.75078,488.878454869
2026-08-05 09:19:09.274232,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,[],0,0.806336371026398,0.0,0.68449,487.05532937799995
2026-08-05 09:27:16.388232,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,[],0,0.806336371026398,0.0,0.68449,468.10152085100003
2026-08-05 09:35:04.519914,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,[],0,0.806336371026398,0.0,0.68449,468.38694558299994
2026-08-05 09:42:52.909371,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.806336371026398,0.0,0.68449,463.6129653799999
2026-08-05 09:50:36.473839,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.806336371026398,0.0,0.68449,460.59396535099995
2026-08-05 09:58:17.086183,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.806336371026398,0.0,0.68449,569.218782288
2026-08-05 10:07:46.211887,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[6208, 12136, 12138, 12267, 12338, 12500, 12665, 12835, 12999, 13195, 13729, 13878, 13956, 14121, 15665, 16993, 24508]",17,0.8603944722543105,0.0,0.76074,630.333056851
2026-08-05 10:18:15.462177,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,[],0,0.806336371026398,0.0,0.68449,560.2245638750001
2026-08-05 10:27:35.680032,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,[],0,0.806336371026398,0.0,0.68449,513.4085489810004
2026-08-05 10:36:09.099199,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,[],0,0.806336371026398,0.0,0.68449,509.5135479800001
2026-08-05 10:44:38.626272,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,[],0,0.806336371026398,0.0,0.68449,509.403109199
2026-08-05 10:53:07.971860,prodrift_pl_5k,56936,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[],0,0.806336371026398,0.0,0.68449,498.95036778300073
