start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 09:25:32.310742,prodrift_pm_5k,56268,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.7683455420224524,0.0,0.65747,320.3379692200001
2026-08-05 09:12:22.171233,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[5952, 16366, 17662]",3,0.8075722768844004,0.0,0.72585,478.208057047
2026-08-05 09:20:19.884678,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[5952, 16366, 17662]",3,0.8075722768844004,0.0,0.72585,486.732036464
2026-08-05 09:28:26.117107,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,"[5952, 16366, 17662]",3,0.8075722768844004,0.0,0.72585,477.82758255099986
2026-08-05 09:36:23.572877,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,"[5952, 16366, 17695]",3,0.8114516059121841,0.0,0.72609,471.4694530930001
2026-08-05 09:44:14.592967,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,"[5952, 17007, 19064, 19083, 27559]",5,0.798296562784448,0.0,0.71808,494.58786627099994
2026-08-05 09:52:27.823065,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,[5995],1,0.8030211087512461,0.0,0.71468,439.14298062299986
2026-08-05 09:59:46.932968,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.7683455420224524,0.0,0.65747,536.6159332950001
2026-08-05 10:08:43.385772,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[5952, 16366, 17662]",3,0.8075722768844004,0.0,0.72585,605.368716033
2026-08-05 10:18:47.760693,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[5952, 16366, 17662]",3,0.8075722768844004,0.0,0.72585,554.7528331169997
2026-08-05 10:28:01.718292,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,"[5952, 16366, 17662]",3,0.8075722768844004,0.0,0.72585,529.0126569629992
2026-08-05 10:36:50.210847,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,"[5952, 16366, 17743]",3,0.8111265224741017,0.0,0.72656,521.142720246
2026-08-05 10:45:30.633367,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,"[5952, 17102, 20182, 23706]",4,0.8082007715313597,0.0,0.72434,541.9872257340003
2026-08-05 10:54:31.337418,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,[5952],1,0.8008972302891075,0.0,0.71197,498.32387106199985
2026-08-05 11:02:49.582949,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,[5994],1,0.8023709418750813,0.0,0.71324,505.4262933610007
2026-08-05 11:11:14.981047,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[5952, 16366, 17662]",3,0.8075722768844004,0.0,0.72585,564.8628939509999
2026-08-05 11:20:39.265943,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[5952, 16366, 17662]",3,0.8075722768844004,0.0,0.72585,547.1137009380009
2026-08-05 11:29:45.834114,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,"[5952, 16366, 17805]",3,0.8111265224741017,0.0,0.7266,546.3009555170011
2026-08-05 11:38:51.654044,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.645,"[5952, 17007, 19064, 19083, 19182, 19258, 23657]",7,0.8071171600710849,0.0,0.72255,547.2086534560003
2026-08-05 11:47:57.289889,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.326,[5952],1,0.8008972302891075,0.0,0.71197,505.97036867099996
2026-08-05 11:56:23.102052,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.576,[5952],1,0.8008972302891075,0.0,0.71197,504.5347794930003
2026-08-05 12:04:47.542391,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,3.09,[5978],1,0.8030427809804517,0.0,0.71481,520.1009251749983
2026-08-05 12:13:27.570748,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0,"[5952, 16366, 17662]",3,0.8075722768844004,0.0,0.72585,564.4161775969988
2026-08-05 12:22:51.485526,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0.674,"[5952, 16848, 19768]",3,0.7950240561744181,0.0,0.70455,558.027514165
2026-08-05 12:32:08.660031,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.282,[5952],1,0.8008972302891075,0.0,0.71197,510.7599000120008
2026-08-05 12:40:39.477734,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.645,[5952],1,0.8008972302891075,0.0,0.71197,498.88436486700084
2026-08-05 12:48:58.284636,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.326,[5960],1,0.8017641194573274,0.0,0.71397,492.48860528799923
2026-08-05 12:57:10.572077,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.576,[5978],1,0.8030427809804517,0.0,0.71481,487.3894601150005
2026-08-05 13:05:17.953656,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,3.09,[5995],1,0.8030211087512461,0.0,0.71468,491.8681956700002
2026-08-05 13:13:29.832464,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0,[5952],1,0.8008972302891075,0.0,0.71197,507.3117979430008
2026-08-05 13:21:57.143103,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0.674,[5952],1,0.8008972302891075,0.0,0.71197,489.025570451
2026-08-05 13:30:06.198899,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.282,[5952],1,0.8008972302891075,0.0,0.71197,515.3420846619993
2026-08-05 13:38:41.493409,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.645,[5958],1,0.8013956915608339,0.0,0.71325,510.79057477600145
2026-08-05 13:47:12.120261,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.326,[5986],1,0.8029777642928352,0.0,0.71442,501.21683949900034
2026-08-05 13:55:33.105400,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.576,[],0,0.7683455420224524,0.0,0.65747,510.27246466400175
2026-08-05 14:04:03.219374,prodrift_pm_5k,56268,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,3.09,[],0,0.7683455420224524,0.0,0.65747,510.1641070779988
2026-08-05 14:12:33.391630,prodrift_pm_5k,56268,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0,"[5952, 7307, 12079]",3,0.8132504009362403,0.0,0.72502,831.6478253269997
2026-08-05 14:26:24.316382,prodrift_pm_5k,56268,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0.674,"[5952, 7307, 12079]",3,0.8132504009362403,0.0,0.72502,826.6265893230011
2026-08-05 14:40:09.773830,prodrift_pm_5k,56268,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.282,[5952],1,0.8049932816089463,0.0,0.68744,714.2646531399987
2026-08-05 14:52:03.711717,prodrift_pm_5k,56268,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.645,[5952],1,0.8049932816089463,0.0,0.68744,784.7640901799969
2026-08-05 15:05:07.971856,prodrift_pm_5k,56268,IND,Transformer,True,finetune,True,True,True,0.5,0,300,2.326,[5952],1,0.8049932816089463,0.0,0.68744,808.9062081539996
2026-08-05 15:18:36.243538,prodrift_pm_5k,56268,IND,Transformer,True,finetune,True,True,True,0.5,0,300,2.576,[5952],1,0.8049932816089463,0.0,0.68744,792.1315238030002
2026-08-05 15:31:47.960670,prodrift_pm_5k,56268,IND,Transformer,True,finetune,True,True,True,0.5,0,300,3.09,[5995],1,0.8062719431320705,0.0,0.69171,794.3493612040002
2026-08-05 15:45:01.563436,prodrift_pm_5k,56268,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,0,"[5952, 7307, 12079]",3,0.8132504009362403,0.0,0.72502,815.8710702489989
2026-08-05 15:58:36.453447,prodrift_pm_5k,56268,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,0.674,"[5952, 7308, 11997]",3,0.8131420397902128,0.0,0.7254,823.5507785269983
