start_time,log_name,processed_events,discovery_algorithm,prediction_algorithm,dynamic_update,update_strategy,apply_constraint,use_consistency,use_only_conflict_data,confidence_threshold,consistency_alpha,win_min,drift_threshold,drift_moments,drift_count,average_accuracy,average_consistency,average_fscore,total_time
2026-08-05 08:29:51.891212,prodrift_re_5k,108679,IND,LSTM,False,finetune,True,True,True,0.5,0.5,300,0.674,[],0,0.6982609087427631,0.0,0.62828,1206.127351881
2026-08-05 09:08:25.458753,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[11191, 11375, 11533, 22971, 23001, 35228, 46618, 59171, 68655, 82230, 90561, 104210]",12,0.7893829830371021,0.0,0.72118,1155.8308069020002
2026-08-05 09:27:37.404959,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[11191, 11385, 11755, 13157, 23041]",5,0.7738280282039152,0.0,0.68572,1038.8716544069998
2026-08-05 09:44:56.111377,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,"[11191, 11412]",2,0.779820233831182,0.0,0.6969,1060.6294524580003
2026-08-05 10:02:36.947806,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,"[11415, 11469, 23289]",3,0.7668221035795544,0.0,0.67771,1234.7073895810004
2026-08-05 10:23:10.942156,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,"[11443, 11483, 23298, 39450, 48436, 62618, 71237, 86128, 90529, 104495]",10,0.773963190736861,0.0,0.70677,1451.5312996889998
2026-08-05 10:47:19.372316,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,"[11452, 11488, 23289, 36307, 47129, 62043, 70365, 85369, 89064, 108164]",10,0.7816899822035999,0.0,0.71442,1430.0176899259995
2026-08-05 11:11:06.427035,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,"[11471, 11497, 19079]",3,0.7504111193710437,0.0,0.65772,1212.2324840640003
2026-08-05 11:31:18.083759,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[11191, 11356, 11522, 11687, 12014, 13079, 13147, 13566, 13599, 13766, 13940, 14102, 22297, 23137, 33969]",15,0.7860264468022797,0.0,0.70712,1145.0014419010004
2026-08-05 11:50:22.328369,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[11191, 11371, 11537, 15442, 15526, 15532, 15595, 16131, 16137, 16292, 16910, 20992, 21095, 21504, 22053]",15,0.7726904102182874,0.0,0.70392,1192.0887967119997
2026-08-05 12:10:13.915982,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,"[11191, 11384]",2,0.774830483656597,0.0,0.67839,1210.961891422001
2026-08-05 12:30:25.226326,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,"[11380, 11451, 23216, 39790, 47764, 62143, 70154, 81739, 90392, 104401]",10,0.7764636975963596,0.0,0.71015,1412.4170910009998
2026-08-05 12:53:53.836436,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.326,"[11412, 11467, 22914, 23257, 35715, 46306, 60587, 70010, 82114, 91301, 104813, 104900, 105415]",13,0.7847987204613548,0.0,0.7158,1384.4997003829994
2026-08-05 13:16:54.515238,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,2.576,"[11415, 11469, 23289]",3,0.7668221035795544,0.0,0.67771,1209.9601928449993
2026-08-05 13:37:04.402891,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.25,300,3.09,"[11436, 11479, 22693]",3,0.7620238336599762,0.0,0.66291,1177.3066011269984
2026-08-05 13:56:41.635751,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0,"[11191, 11356, 11522, 11687, 12014, 13079, 13147, 13566, 13599, 13766, 13940, 14102, 22297, 23137, 33969]",15,0.7860264468022797,0.0,0.70712,1147.986448746
2026-08-05 14:15:48.910017,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,0.674,"[11191, 11356, 11547, 11876, 11956, 12119, 12299, 12522, 12653, 13226, 13771, 16965, 22213, 22215, 36153, 46811, 61452, 69114, 81809, 88803, 102465]",21,0.7833006690545381,0.0,0.70862,1394.298064464001
2026-08-05 14:38:58.470770,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.282,"[11370, 11446, 11612, 22742]",4,0.7612466490955374,0.0,0.64944,1206.3823248129993
2026-08-05 14:59:04.713909,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,1.645,"[11372, 11447, 11613, 22783]",4,0.7617647721384966,0.0,0.65556,1194.624954679999
2026-08-05 15:18:59.250926,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.326,"[11378, 11450, 14148, 24640, 39393, 48394, 62712, 73216]",8,0.7734225406050776,0.0,0.70059,1285.7122363519993
2026-08-05 15:40:23.152982,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,2.576,"[11384, 11453, 22612, 23308, 35886, 47432, 61642, 61665, 61799, 61848, 65824, 66314, 79083, 89858, 105842]",15,0.7902390124124259,0.0,0.72061,1370.7569841410004
2026-08-05 16:03:10.962399,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.5,300,3.09,"[11404, 11463, 20249, 23563, 37775, 48622]",6,0.7807888986506274,0.0,0.70175,1270.5167131339986
2026-08-05 16:24:20.482495,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0,"[11191, 11356, 11522, 11687, 12014, 13079, 13147, 13566, 13599, 13766, 13940, 14102, 22297, 23137, 33969]",15,0.7860264468022797,0.0,0.70712,1496.717239395999
2026-08-05 16:49:17.030398,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,0.674,"[11370, 11446, 11612, 22783]",4,0.7616859273276114,0.0,0.65123,1456.3020642329975
2026-08-05 17:13:33.035457,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.282,"[11370, 11446, 11612, 22971]",4,0.7660111283818792,0.0,0.6629,1421.9219615010006
2026-08-05 17:37:14.785168,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,1.645,"[11370, 11446, 11612, 22971]",4,0.7660111283818792,0.0,0.6629,1349.810120907001
2026-08-05 17:59:44.372618,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.326,"[11372, 11447, 11613, 22971]",4,0.7617535085940844,0.0,0.65142,1371.4794529829996
2026-08-05 18:22:35.793409,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,2.576,"[11377, 11449, 11615, 22971]",4,0.7624067941699895,0.0,0.64874,1342.0099104709952
2026-08-05 18:44:57.714665,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,0.75,300,3.09,"[11402, 11462, 18313, 24059]",4,0.7822418958797954,0.0,0.69128,1380.5009223550005
2026-08-05 19:07:57.768913,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0,"[11370, 11446, 11612, 22971]",4,0.7660111283818792,0.0,0.6629,1386.7983434490015
2026-08-05 19:31:04.491328,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,0.674,"[11370, 11446, 11612, 22971]",4,0.7660111283818792,0.0,0.6629,1370.110931408999
2026-08-05 19:53:54.450912,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.282,"[11370, 11446, 11612, 22971]",4,0.7660111283818792,0.0,0.6629,1384.8317129829957
2026-08-05 20:16:59.128504,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,1.645,"[11370, 11446, 11612, 22971]",4,0.7660111283818792,0.0,0.6629,1329.3232109490054
2026-08-05 20:39:08.537231,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.326,"[11372, 11447, 11613, 22971]",4,0.7617535085940844,0.0,0.65142,1307.3030720749957
2026-08-05 21:00:56.045671,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,2.576,"[11384, 11453, 11659, 22975]",4,0.7623392129035165,0.0,0.65514,1283.6986121890004
2026-08-05 21:22:19.611296,prodrift_re_5k,108679,IND,LSTM,True,finetune,True,True,True,0.5,1.0,300,3.09,"[11412, 11467, 18314, 24062]",4,0.7830303439886463,0.0,0.69562,1302.2654609919991
2026-08-05 21:44:01.257639,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0,"[11191, 11548, 11619, 23534, 24275, 35821, 45715, 45954, 56997, 57103, 67322, 67481, 78128, 78323, 87638, 87669, 87699, 100514]",18,0.7908922979883309,0.0,0.72158,2265.125750322004
2026-08-05 22:21:43.263190,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0,300,0.674,"[11191, 11577, 13305, 23154, 26225, 37907, 45717, 58716, 59022, 66478, 67098, 78872]",12,0.7849113559054763,0.0,0.70039,2149.8680968129993
2026-08-05 22:57:29.927260,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.282,"[11191, 11876, 22572]",3,0.7629023901241243,0.0,0.64874,1922.9293287420005
2026-08-05 23:29:32.308981,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0,300,1.645,[11191],1,0.7813070216935866,0.0,0.65669,1852.241789769003
2026-08-06 00:00:24.447546,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0,300,2.326,[],0,0.7812619675159379,0.0,0.68215,1983.4116440800062
2026-08-06 00:33:27.380325,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0,300,2.576,[],0,0.7812619675159379,0.0,0.68215,1941.967747716997
2026-08-06 01:05:49.068261,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0,300,3.09,[],0,0.7812619675159379,0.0,0.68215,1853.1430437870004
2026-08-06 01:36:41.824329,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,0,"[11191, 11356, 11522, 11687, 11854, 12890, 13776, 13875, 13972, 14383, 14427, 14594, 14890, 14991, 22242, 22815, 33900]",17,0.7868712126331914,0.0,0.69491,1917.7660472209973
2026-08-06 02:08:38.465688,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,0.674,"[11191, 11371, 11530, 12743, 22669]",5,0.7645243405194747,0.0,0.6386,1916.2030524799993
2026-08-06 02:40:34.064380,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,1.282,"[11191, 11469, 18432, 22399]",4,0.7635444121556171,0.0,0.64703,1816.7987468700012
2026-08-06 03:10:49.482191,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,1.645,"[11191, 11548, 22292, 22802, 34067]",5,0.7861052916131648,0.0,0.68837,1829.3684688720023
2026-08-06 03:41:17.333382,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,2.326,"[11460, 11491, 22654, 23393, 35682]",5,0.7864882521231781,0.0,0.68736,1844.1373949179979
2026-08-06 04:12:00.119046,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,2.576,[11576],1,0.7805636277623843,0.0,0.69317,1754.8176561099972
2026-08-06 04:41:14.498897,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.25,300,3.09,[11625],1,0.7794823274988173,0.0,0.6845,1810.1746064010076
2026-08-06 05:11:24.151578,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,0,"[11191, 11356, 11522, 11687, 11854, 12890, 13776, 13875, 13972, 14383, 14427, 14594, 14890, 14991, 22242, 22815, 33900]",17,0.7868712126331914,0.0,0.69491,1796.8057203609933
2026-08-06 05:41:19.594784,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,0.674,"[11191, 11356, 11522, 11687, 11858, 12024, 22509, 22510, 34907]",9,0.7875132346646843,0.0,0.68516,1847.6597039850021
2026-08-06 06:12:05.845232,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,1.282,"[11191, 11370, 12465, 22675]",4,0.7635444121556171,0.0,0.64289,1813.1534071729984
2026-08-06 06:42:17.835479,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,1.645,"[11370, 11446, 11612, 22971]",4,0.7635444121556171,0.0,0.6356,1894.4679021370102
2026-08-06 07:13:51.134642,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,2.326,"[11380, 11543, 15947, 23173]",4,0.7644905498862382,0.0,0.64396,1858.4785677019972
2026-08-06 07:44:47.995570,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,2.576,"[11384, 11544, 18304, 23216, 37907, 48449, 62434, 74106]",8,0.7763172715190017,0.0,0.70689,2069.399713065999
2026-08-06 08:19:13.825084,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.5,300,3.09,"[11425, 11473, 22060, 24663, 34729]",5,0.7853281070487261,0.0,0.68792,1896.9207894449937
2026-08-06 08:50:49.014624,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,0,"[11191, 11356, 11522, 11687, 11854, 12890, 13776, 13875, 13972, 14383, 14427, 14594, 14890, 14991, 22242, 22815, 33900]",17,0.7868712126331914,0.0,0.69491,1884.5041063590033
2026-08-06 09:22:11.956895,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,0.674,"[11192, 11357, 12466, 22675]",4,0.7634880944335564,0.0,0.64066,1868.1042585850082
2026-08-06 09:53:19.130772,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,1.282,"[11370, 11446, 11612, 22971]",4,0.7635444121556171,0.0,0.6356,1879.339855232989
2026-08-06 10:24:37.532218,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,1.645,"[11370, 11446, 11612, 22971]",4,0.7635444121556171,0.0,0.6356,1793.3087818380009
2026-08-06 10:54:30.072986,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,2.326,"[11372, 11447, 11613, 22971]",4,0.7635444121556171,0.0,0.6356,1857.548362534988
2026-08-06 11:25:26.829170,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,2.576,"[11378, 11545, 15925, 23097]",4,0.7642202248203465,0.0,0.64104,1862.9367808550014
2026-08-06 11:56:28.712590,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,0.75,300,3.09,"[11402, 11468, 18313, 24059]",4,0.781633664481539,0.0,0.68421,1884.928153224988
2026-08-06 12:27:52.508165,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,0,"[11370, 11446, 11612, 22971]",4,0.7635444121556171,0.0,0.6356,1844.2815450799972
2026-08-06 12:58:35.941715,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,0.674,"[11370, 11446, 11612, 22971]",4,0.7635444121556171,0.0,0.6356,1737.0170068870066
2026-08-06 13:27:32.240035,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,1.282,"[11370, 11446, 11612, 22971]",4,0.7635444121556171,0.0,0.6356,1687.5111950090068
2026-08-06 13:55:39.127812,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,1.645,"[11370, 11446, 11612, 22971]",4,0.7635444121556171,0.0,0.6356,1548.444121463006
2026-08-06 14:21:26.854658,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,2.326,"[11372, 11447, 11613, 22971]",4,0.7635444121556171,0.0,0.6356,1452.8388349410088
2026-08-06 14:45:38.999044,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,2.576,"[11384, 11453, 11659, 22975]",4,0.7641075893762249,0.0,0.64619,1355.9892699040065
2026-08-06 15:08:14.395080,prodrift_re_5k,108679,IND,Transformer,True,finetune,True,True,True,0.5,1.0,300,3.09,"[11412, 11467, 18314, 24062]",4,0.7805523642179721,0.0,0.68195,1340.8762236309994
2026-08-06 15:30:34.261469,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,0,"[11191, 11375, 11533, 22971, 23001, 35228, 46618, 59171, 68655, 82230, 90561, 104210]",12,0.7893829830371021,0.0,0.72118,1013.524212215998
2026-08-06 15:47:23.313782,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,0.674,"[11191, 11385, 11755, 13157, 23041]",5,0.7738280282039152,0.0,0.68572,863.7120230720029
2026-08-06 16:01:46.705296,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,1.282,"[11191, 11412]",2,0.779820233831182,0.0,0.6969,852.9363618080097
2026-08-06 16:15:59.787144,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,1.645,"[11415, 11469, 23289]",3,0.7668221035795544,0.0,0.67771,858.5740664189943
2026-08-06 16:30:18.064855,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,2.326,"[11443, 11483, 23298, 39450, 48436, 62618, 71237, 86128, 90529, 104495]",10,0.773963190736861,0.0,0.70677,972.4449045530055
2026-08-06 16:46:26.756307,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,2.576,"[11452, 11488, 23289, 36307, 47129, 62043, 70365, 85369, 89064, 108164]",10,0.781701245748012,0.0,0.71443,993.773116633005
2026-08-06 17:02:56.044654,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0,300,3.09,"[11471, 11497, 19079]",3,0.7504111193710437,0.0,0.65772,836.787522374012
2026-08-06 17:16:52.545468,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,0,"[11191, 11356, 11522, 11687, 12014, 13079, 13147, 13566, 13599, 13766, 13940, 14102, 22297, 23137, 33969]",15,0.7860264468022797,0.0,0.70712,794.2975104920042
2026-08-06 17:30:05.680339,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,0.674,"[11191, 11371, 11537, 15442, 15526, 15532, 15595, 16131, 16137, 16292, 16910, 20992, 21095, 21504, 22053]",15,0.7726904102182874,0.0,0.70392,806.1887807300081
2026-08-06 17:43:31.155543,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.282,"[11191, 11384]",2,0.774830483656597,0.0,0.67839,820.7126015079994
2026-08-06 17:57:12.182240,prodrift_re_5k,108679,ILP,LSTM,True,finetune,True,True,True,0.5,0.25,300,1.645,"[11380, 11451, 13093, 23403, 35695, 46124, 58966, 68329, 82380, 90517, 103870]",11,0.7888873870829672,0.0,0.72306,926.9156633669918
